Inn; FullName ; shortname ; region ; founder ; Kpp ; students_2018 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7604011791;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. П.Г. ДЕМИДОВА"" "; ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. П.Г. ДЕМИДОВА ; Ярославская область ; Министерство образования и науки Российской Федерации ; 760 401 001.00   ; 5 915.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7604010220;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. К.Д. УШИНСКОГО"" "; ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. К.Д. УШИНСКОГО ; Ярославская область ; Министерство образования и науки Российской Федерации ; 760 401 001.00   ; 6 726.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7604002250;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ "; ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ; Ярославская область ; Министерство здравоохранения Российской Федерации ; 760 401 001.00   ; 3 325.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7605009467;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"" "; ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ; Ярославская область ; Министерство образования и науки Российской Федерации ; 760 401 001.00   ; 4 621.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7610029476;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РЫБИНСКИЙ ГОСУДАРСТВЕННЫЙ АВИАЦИОННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ П.А. СОЛОВЬЕВА"" "; РЫБИНСКИЙ ГОСУДАРСТВЕННЫЙ АВИАЦИОННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ П.А. СОЛОВЬЕВА ; Ярославская область ; Министерство образования и науки Российской Федерации ; 761 001 001.00   ; 2 980.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7602005993;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ"" "; ЯРОСЛАВСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ ; Ярославская область ; Министерство сельского хозяйства Российской Федерации ; 760 201 001.00   ; 1 416.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7604018317;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕАТРАЛЬНЫЙ ИНСТИТУТ"" "; ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕАТРАЛЬНЫЙ ИНСТИТУТ ; Ярославская область ; Министерство культуры Российской Федерации ; 760 401 001.00   ; 399.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020000570;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЧЕЧЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; ЧЕЧЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Чеченская Республика ; Министерство образования и науки Российской Федерации ; 201 401 001.00   ; 14 643.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020000531;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ГРОЗНЕНСКИЙ ГОСУДАРСТВЕННЫЙ НЕФТЯНОЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ АКАДЕМИКА М. Д. МИЛЛИОНЩИКОВА"" "; ГРОЗНЕНСКИЙ ГОСУДАРСТВЕННЫЙ НЕФТЯНОЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ АКАДЕМИКА М. Д. МИЛЛИОНЩИКОВА ; Чеченская Республика ; Министерство образования и науки Российской Федерации ; 201 401 001.00   ; 5 348.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020000549;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЧЕЧЕНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"" "; ЧЕЧЕНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ; Чеченская Республика ; Министерство образования и науки Российской Федерации ; 201 401 001.00   ; 8 200.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
